CPDV
Catholic Public Domain Version
Genesis 1:1	In the beginning, God created heaven and earth.
Genesis 1:2	But the earth was empty and unoccupied, and darknesses were over the face of the abyss; and so the Spirit of God was brought over the waters.
Genesis 1:3	And God said, “Let there be light.” And light became.
Genesis 1:4	And God saw the light, that it was good; and so he divided the light from the darknesses.
Genesis 1:5	And he called the light, ‘Day,’ and the darknesses, ‘Night.’ And it became evening and morning, one day.
Genesis 1:6	God also said, “Let there be a firmament in the midst of the waters, and let it divide waters from waters.”
Genesis 1:7	And God made a firmament, and he divided the waters that were under the firmament, from those that were above the firmament. And so it became.
Genesis 1:8	And God called the firmament ‘Heaven.’ And it became evening and morning, the second day.
Genesis 1:9	Truly God said: “Let the waters that are under heaven be gathered together into one place; and let the dry land appear.” And so it became.
Genesis 1:10	And God called the dry land, ‘Earth,’ and he called the gathering of the waters, ‘Seas.’ And God saw that it was good.
Genesis 1:11	And he said, “Let the land spring forth green plants, both those producing seed, and fruit-bearing trees, producing fruit according to their kind, whose seed is within itself, over all the earth.” And so it became.
Genesis 1:12	And the land brought forth green plants, both those producing seed, according to their kind, and trees producing fruit, with each having its own way of sowing, according to its species. And God saw that it was good.
Genesis 1:13	And it became evening and the morning, the third day.
Genesis 1:14	Then God said: “Let there be lights in the firmament of heaven. And let them divide day from night, and let them become signs, both of the seasons, and of the days and years.
Genesis 1:15	Let them shine in the firmament of heaven and illuminate the earth.” And so it became.
Genesis 1:16	And God made two great lights: a greater light, to rule over the day, and a lesser light, to rule over the night, along with the stars.
Genesis 1:17	And he set them in the firmament of heaven, to give light over all the earth,
Genesis 1:18	and to rule over the day as well as the night, and to divide light from darkness. And God saw that it was good.
Genesis 1:19	And it became evening and morning, the fourth day.
Genesis 1:20	And then God said, “Let the waters produce animals with a living soul, and flying creatures above the earth, under the firmament of heaven.”
Genesis 1:21	And God created the great sea creatures, and everything with a living soul and the ability to move that the waters produced, according to their species, and all the flying creatures, according to their kind. And God saw that it was good.
Genesis 1:22	And he blessed them, saying: “Increase and multiply, and fill the waters of the sea. And let the birds be multiplied above the land.”
Genesis 1:23
